Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Av
1805,-9,-11.8,-2.8,2.5,9.1,14.4,19.6,18.9,11.6,0.7,-4.9,-4.2,3.7
1806,-6.5,-10.8,-5.6,1.6,10.1,12.3,15.2,18.5,13.4,3.7,-2.2,-2.4,3.9
1807,-10.6,-2.8,-4,-0.2,6.2,14,16.3,17.5,10,3.4,0.3,-3.4,3.9
1808,-4.7,-9.5,-9.2,-1.4,7.1,15.2,17.2,15.4,12.2,5.6,-2.2,-12.2,2.8
1809,-18.6,-13.9,-10.6,-1.7,7.4,14.8,16.4,16,11.3,3.6,-6.8,-4.1,1.2
1810,-8.3,-10.7,-9.5,-2.6,4.2,11,14.8,14.9,9.3,3.1,-5.1,-4.9,1.4
1811,-8.6,-10.8,-1.5,-0.4,8.2,15.9,16,14.6,7.8,-0.1,-1.4,-3.6,3
1812,-9.3,-8.1,-5.4,1.3,6.8,13.7,17.9,19.6,7.7,4.8,-5.2,-14,2.5
1813,-15.8,-7.7,-2.5,4.3,8.3,13.2,20.3,16,13.8,2.3,1.7,-7.9,3.8
1814,-21.5,-11.5,-4.9,1.6,5.9,15.3,20.7,17,10.3,2.2,0.9,-4.6,2.6
1815,-10.3,-9,-4,2.4,8.3,13.1,14.6,16.8,10.7,4.7,0.1,-6.4,3.4
1816,-6.3,-14.3,-5.2,3.6,7.5,15.1,19.1,14.7,12.3,3,-2.4,-5.1,3.5
1817,-3.2,-4.1,-3.6,2,11.6,14,19.1,17.5,8.1,1.4,-3.4,-17.4,3.5
1818,-5.9,-5.1,-2.6,-0.4,7.3,13.2,20.3,14,11.8,5.2,-1.8,-2.7,4.4
1819,-3.7,-7.4,-4.6,0.4,7.9,17.4,18.5,18.3,14,6.3,-4.7,-16.6,3.8
1820,-17.2,-10.9,-2.1,3.9,10.2,15,17.1,15.8,12.1,5.9,-0.9,-10.6,3.2
1821,-7.3,-8.6,-5.9,2.6,10.1,11.2,15.3,13.6,9.2,7,0.7,-1.8,3.8
1822,-6.2,-1.7,1.4,6,9.2,12.6,17.2,15.7,11,5.6,0.3,-2.1,5.8
1823,-12.8,-10.3,-0.2,0.9,7.9,16.4,17,16.7,10.6,6.9,-3.3,-2.6,3.9
1824,-6.2,-6.4,-2.4,3.1,8.1,12,14.8,13.8,13.2,4.1,-0.2,-3.1,4.2
1825,-5,-6.2,-3.6,1.5,6.5,14.7,14.7,15.4,9.4,5.6,1.9,-5.6,4.1
1826,-11.3,-6.7,-1.1,3.9,13,17.7,20.9,18.7,10.9,7.5,2,-0.3,6.3
1827,-6.6,-9.2,-2,7.5,11.5,16.8,16.6,16.4,11.6,3.9,-2.8,-4,5
1828,-12.1,-12.4,-6.3,2.1,10.5,16.2,19.6,17,9.8,5,-2.2,-10.1,3.1
1829,-12.3,-13.3,-8.8,-0.4,8.8,14.8,20.1,15.1,12.3,3.2,-3.3,-8.4,2.3
1830,-10.9,-9.5,-3.9,2.4,6.3,15,16.9,17.5,10,5.2,0.2,-5.3,3.7
1831,-12.6,-5.2,-7.7,2.8,8.1,16.6,19,15.4,8.7,4.4,-0.6,-6.8,3.5
1832,-7.6,-3.6,-3.6,1.5,7.8,13.8,14.1,14.4,9,5.1,-4.3,-7.4,3.3
1833,-8.5,-5.9,-6.7,2,8.1,16.4,17.1,13,11.6,5.6,1.7,-7.8,3.9
1834,-14.2,-8,-3.6,1.6,8.6,13,17.3,18.4,10,4.6,-1.9,-5.7,3.3
1835,-6,-3.7,-1.7,1.4,7.6,15.6,17.2,12.6,10.4,4.8,-5.1,-12.6,3.4
